district,centroid_lat,centroid_lon
Patna,25.5941,85.1376
Muzaffarpur,26.1197,85.3910
Varanasi,25.3176,82.9739
Lucknow,26.8467,80.9462
Kanpur Nagar,26.4499,80.3319
Meerut,28.9845,77.7064
Agra,27.1767,78.0081
Amritsar,31.6340,74.8723
Ludhiana,30.9010,75.8573
Patiala,30.3398,76.3869
Bathinda,30.2110,74.9455
Karnal,29.6857,76.9905
Hisar,29.1492,75.7217
Rohtak,28.8955,76.6066
Sirsa,29.5330,75.0279
Jaipur,26.9124,75.7873
Sikar,27.6094,75.1399
Bikaner,28.0229,73.3119
Bharatpur,27.2152,77.4868
Ahmedabad,23.0225,72.5714
Mehsana,23.5880,72.3693
Rajkot,22.3039,70.8022
Indore,22.7196,75.8577
Ratlam,23.3315,75.0367
Sehore,23.2003,77.0858
Ujjain,23.1793,75.7849
Akola,20.7002,77.0082
Amravati,20.9374,77.7796
Jalgaon,21.0077,75.5626
Kalaburagi,17.3297,76.8204
Vijayapura,16.8302,75.7100
Nadia,23.4737,88.5558
Bardhaman,23.2324,87.0753
