id,entity_type,district,territory_id,weather_score,pest_score,inventory_score,purchase_history_score,visit_score,competitive_score,current_stage,growth_score,weather_growth_bonus,entity_bonus,raw_priority_score,final_priority_score
RTL_03803,retailer,Bardhaman,TER_0476,70.77196095829635,100.0,90.625,98.59022556390977,48.0,30.0,,0.0,0,12,97.88888128229651,100.0
RTL_01517,retailer,Nadia,TER_0191,67.31738708744014,96.37938974353087,86.68478260869566,75.93984962406014,64.0,80.0,,0.0,0,12,95.21012599250965,96.85258701942092
RTL_03075,retailer,Nadia,TER_0389,67.31738708744014,96.37938974353087,79.4836956521739,78.00751879699249,54.400000000000006,80.0,,0.0,0,12,92.80736421550239,94.02945359061354
RTL_02804,retailer,Nadia,TER_0356,67.31738708744014,96.37938974353087,95.1086956521739,32.80075187969925,95.19999999999999,80.0,,0.0,0,12,92.66472686119815,93.86186132783229
RTL_01514,retailer,Nadia,TER_0191,67.31738708744014,96.37938974353087,88.99456521739131,75.46992481203007,64.0,80.0,,0.0,0,12,92.46106281734852,93.62256554081752
RTL_00194,retailer,Nadia,TER_0026,67.31738708744014,96.37938974353087,96.875,24.43609022556391,92.80000000000001,80.0,,0.0,0,12,92.18357464494844,93.29652983345035
RTL_01256,retailer,Nadia,TER_0158,67.31738708744014,96.37938974353087,90.89673913043478,65.13157894736842,36.0,80.0,,0.0,0,12,92.1077716283988,93.20746481166019
RTL_01685,retailer,Bardhaman,TER_0212,70.77196095829635,100.0,80.57065217391303,99.43609022556392,35.199999999999996,30.0,,0.0,0,12,91.75252865739088,92.7900708292861
RTL_01784,retailer,Nadia,TER_0224,67.31738708744014,96.37938974353087,93.07065217391303,30.92105263157895,60.0,80.0,,0.0,0,12,91.2089976578296,92.15144716332875
RTL_03070,retailer,Nadia,TER_0389,67.31738708744014,96.37938974353087,97.14673913043478,41.44736842105263,54.400000000000006,80.0,,0.0,0,12,90.62772642871127,91.46848048147491
RTL_00360,retailer,Bardhaman,TER_0047,70.77196095829635,100.0,86.54891304347827,74.3421052631579,55.2,80.0,,0.0,0,12,90.54161009123989,91.36729778687389
RTL_01684,retailer,Bardhaman,TER_0212,70.77196095829635,100.0,99.04891304347827,45.86466165413533,35.199999999999996,30.0,,0.0,0,12,90.082180294315,90.82748912573214
GRW_04871,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,89.84687884275966,90.55102085489085
RTL_01788,retailer,Nadia,TER_0224,67.31738708744014,96.37938974353087,85.59782608695652,68.796992481203,60.0,80.0,,0.0,0,12,89.7815390251717,90.47424960564345
RTL_00730,retailer,Nadia,TER_0092,67.31738708744014,96.37938974353087,88.72282608695652,40.31954887218045,56.8,80.0,,0.0,0,12,89.76001941591088,90.44896506480363
RTL_02297,retailer,Nadia,TER_0290,67.31738708744014,96.37938974353087,84.91847826086956,43.890977443609025,60.0,80.0,,0.0,0,12,89.75966349261395,90.44854687146992
RTL_01512,retailer,Nadia,TER_0191,67.31738708744014,96.37938974353087,87.63586956521739,31.296992481203006,64.0,80.0,,0.0,0,12,89.73192142132083,90.4159512269073
RTL_03517,retailer,Bardhaman,TER_0443,70.77196095829635,100.0,99.18478260869566,31.76691729323308,22.400000000000002,80.0,,0.0,0,12,89.68666506180608,90.36277710759391
RTL_00192,retailer,Nadia,TER_0026,67.31738708744014,96.37938974353087,88.17934782608697,44.266917293233085,92.80000000000001,80.0,,0.0,0,12,89.49862552690217,90.14183939250098
GRW_04785,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,89.36441490306876,89.98414814642285
RTL_00196,retailer,Nadia,TER_0026,67.31738708744014,96.37938974353087,79.4836956521739,51.127819548872175,92.80000000000001,80.0,,0.0,0,12,89.30945345442971,89.91957099839537
RTL_02808,retailer,Nadia,TER_0356,67.31738708744014,96.37938974353087,80.16304347826086,43.796992481203006,95.19999999999999,80.0,,0.0,0,12,88.83328409642395,89.36009413089076
RTL_00452,retailer,Nadia,TER_0059,67.31738708744014,96.37938974353087,88.17934782608697,46.8984962406015,50.4,80.0,,0.0,0,12,88.72319677396233,89.23074664288619
RTL_01168,retailer,Bardhaman,TER_0146,70.77196095829635,100.0,80.29891304347827,86.46616541353383,41.6,30.0,,0.0,0,12,88.70327210911219,89.20733608760997
GRW_03593,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,88.6870464156461,89.18827165181443
RTL_02556,retailer,Nadia,TER_0323,67.31738708744014,96.37938974353087,82.74456521739131,66.82330827067669,48.0,80.0,,0.0,0,12,88.65810209453068,89.15426341958059
RTL_02807,retailer,Nadia,TER_0356,67.31738708744014,96.37938974353087,93.47826086956522,24.154135338345863,95.19999999999999,80.0,,0.0,0,12,88.62562705049044,89.11610675198693
GRW_04656,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,88.46398130356361,88.9261805112166
RTL_00198,retailer,Nadia,TER_0026,67.31738708744014,96.37938974353087,91.16847826086956,25.09398496240601,92.80000000000001,80.0,,0.0,0,12,88.4191658866657,88.87352447898687
GRW_03581,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,88.41874539201434,88.8730304173124
GRW_05637,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,88.35865766933543,88.8024301355121
